headline,category,prediction
Over 4 Million Americans Roll Up Sleeves For Omicron-Targeted COVID Boosters,US_NEWS,1
"American Airlines Flyer Charged, Banned For Life After Punching Flight Attendant On Video",US_NEWS,4
23 Of The Funniest Tweets About Cats And Dogs This Week (Sept. 17-23),ENTERTAINMENT_MEDIA,3
The Funniest Tweets From Parents This Week (Sept. 17-23),PARENTING_FAMILY,3
Woman Who Called Cops On Black Bird-Watcher Loses Lawsuit Against Ex-Employer,US_NEWS,4
Cleaner Was Dead In Belk Bathroom For 4 Days Before Body Found: Police,US_NEWS,4
Reporter Gets Adorable Surprise From Her Boyfriend While Live On TV,US_NEWS,3
Puerto Ricans Desperate For Water After Hurricane Fiona’s Rampage,WORLD_NEWS,4
How A New Documentary Captures The Complexity Of Being A Child Of Immigrants,ARTS_CULTURE,3
Biden At UN To Call Russian War An Affront To Body's Charter,WORLD_NEWS,0
World Cup Captains Want To Wear Rainbow Armbands In Qatar,WORLD_NEWS,2
Man Sets Himself On Fire In Apparent Protest Of Funeral For Japan's Abe,WORLD_NEWS,4
Fiona Threatens To Become Category 4 Storm Headed To Bermuda,WORLD_NEWS,2
"Twitch Bans Gambling Sites After Streamer Scams Folks Out Of $200,000",TECH,4
Virginia Thomas Agrees To Interview With Jan. 6 Panel,US_NEWS,0
Russian Cosmonaut Valery Polyakov Who Broke Record With 437-Day Stay In Space Dies At 80,WORLD_NEWS,4
'Reboot' Is A Clever And Not Too Navel-Gazey Look Inside TV Reboots,ARTS_CULTURE,3
"Maury Wills, Base-Stealing Shortstop For Dodgers, Dies At 89",SPORTS,4
4 Russian-Controlled Ukrainian Regions Schedule Votes This Week To Join Russia,WORLD_NEWS,4
Fiona Barrels Toward Turks And Caicos Islands As Category 3 Hurricane,WORLD_NEWS,4
Golden Globes Returning To NBC In January After Year Off-Air,ENTERTAINMENT_MEDIA,3
Biden Says U.S. Forces Would Defend Taiwan If China Invaded,POLITICS,0
Hurricane Fiona Bears Down On Dominican Republic After Pounding Puerto Rico,WORLD_NEWS,4
One Dead After Plane Crashes At Reno Air Race,US_NEWS,4
‘Beautiful And Sad At The Same Time’: Ukrainian Cultural Festival Takes On A Deeper Meaning This Year,POLITICS,4
Family Of American Held In Afghanistan Says He Was Freed By Taliban In Prisoner Swap,US_NEWS,4
"Las Vegas Aces Win First WNBA Title, Chelsea Gray Named MVP",SPORTS,2
World Leaders Pay Respects To Queen Elizabeth II,WORLD_NEWS,3
James Cameron Says He 'Clashed' With Studio Before 'Avatar' Release,ENTERTAINMENT_MEDIA,2
'French Spider-Man' Celebrates 60th Birthday With A Massive Skyscraper Climb,GOOD_WEIRD_NEWS,2
Biden Says Queen's Death Left 'Giant Hole' For Royal Family,POLITICS,3
Watchdog Report Finds Some Census Takers Who Fudged 2020 Data Didn’t Get Fired,US_NEWS,4
First Public Global Database Of Fossil Fuels Launches,ENVIRONMENT,2
Man Charged With Exposing Himself To Mourners Waiting To View Queen Elizabeth,WORLD_NEWS,4
Alaska Prepares For 'Historic-Level' Storm Barreling Towards Coast,ENVIRONMENT,2
Puerto Rico Braces For Landslides And Severe Flooding As Tropical Storm Fiona Approaches,ENVIRONMENT,4
WHO Raises Alarm On Disease In Flood-hit Areas Of Pakistan,WORLD_NEWS,1
Privatization Isn’t The Answer To Jackson’s Water Crisis,ENVIRONMENT,4
German Customs Officials Follow Trail Of Slime And Find Bags Of Giant Snails,GOOD_WEIRD_NEWS,2
Amazon Greenlights 'Blade Runner 2099' Limited Series Produced By Ridley Scott,ENTERTAINMENT_MEDIA,2
Bill To Help Afghans Who Escaped Taliban Faces Long Odds In The Senate,POLITICS,4
Alabama Sidesteps Compensation For Survivor Of '63 KKK Blast,US_NEWS,4
Racism Seen As Root Of Water Crisis In Mississippi Capital,US_NEWS,4
'The Phantom Of The Opera' To Close On Broadway Next Year,ENTERTAINMENT_MEDIA,2
Mark Meadows Complies With Justice Dept. Subpoena: Report,POLITICS,0
"Meet Alex Aster, The TikToker Changing The Publishing Industry For The Better",ARTS_CULTURE,3
Chick-Fil-A Worker Saves Woman With Baby From Being Carjacked,US_NEWS,4
Viola Davis Feared A Heart Attack During 'The Woman King' Training,ENTERTAINMENT_MEDIA,3
Kim Kardashian's Next Boyfriend Could Be A Biochemist,ENTERTAINMENT_MEDIA,3
Podcasters Offer $100K Reward For Information On 2Pac’s Killers,ENTERTAINMENT_MEDIA,3
"Cardi B Donates $100,000 To Her Old Middle School In The Bronx",ENTERTAINMENT_MEDIA,3
"Bill Richardson Visits Moscow As Brittney Griner, Paul Whelan Remain Jailed",WORLD_NEWS,4
Emmy Awards Viewership Dips To A Record-Low As Its Audience Continues To Drop,ENTERTAINMENT_MEDIA,2
"Possible Nationwide Rail Strike Is Already Impacting Travelers, Businesses",US_NEWS,4
Democrats Nominate Seth Magaziner In Key Rhode Island House Race,POLITICS,0
TikTok Search Results Riddled With Misinformation: Report,TECH,4
U.S. Inflation Falls For 2nd Straight Month On Lower Gas Costs,US_NEWS,2
"Jean-Luc Godard, Pioneering French Filmmaker, Dies",ENTERTAINMENT_MEDIA,2
Thousands Of Minnesota Nurses Launch 3-day Strike Over Pay,US_NEWS,2
Joe Biden Urges National Unity In Speech On Renewed ‘Cancer Moonshot’,POLITICS,0
Sen. Tim Scott Downplays Electability Concerns Over Struggling Senate GOP Candidates,POLITICS,0
Boston Marathon To Make Race More Inclusive For Nonbinary Runners,SPORTS,2
"Anthony Varvaro, MLB Pitcher Turned Transit Cop, Dies In Crash On Way To 9/11 Ceremony",SPORTS,4
Electability Is On The Ballot In Key Rhode Island House Primary,POLITICS,0
"In A Nod To JFK, Joe Biden Pushing 'Moonshot' To Fight Cancer",POLITICS,0
How Ani Liu Is Brilliantly Disguising Her Art As Science,ARTS_CULTURE,3
'Sidney' Tackles The Not-So-Comfortable Conversations About A Black Cinema Icon,ARTS_CULTURE,3
"Carlos Alcaraz Wins U.S. Open For 1st Slam Title, Top Ranking",SPORTS,2
"Weather Helping, But Threat From Western Fires Persists",US_NEWS,4
"Biden Honors 9/11 Victims, Vows Commitment To Thwart Terror",POLITICS,0
9/11 Attacks Still Reverberate As U.S. Marks 21st Anniversary,US_NEWS,4
Last Reactor At Ukraine's Zaporizhzhia Nuclear Plant Stopped,WORLD_NEWS,4
Payment Processor Visa To Start Categorizing Sales At Gun Stores,US_NEWS,2
"US, Trump Team Propose Names For Arbiter In Mar-A-Lago Probe",POLITICS,0
James Cameron Presents New Scenes From 'Avatar: The Way Of Water' At D23 Expo,ENTERTAINMENT_MEDIA,2
Russia Says It's Pulling Back Forces From Ukraine's Kharkiv Region,WORLD_NEWS,4
Severe Winds Batter Southern California As Heat Wave Breaks,ENVIRONMENT,2
Ukraine Claws Back Some Territory; Nuclear Plant In Peril,WORLD_NEWS,4
Watch Harry Styles Pay Tribute To Queen Elizabeth II At NYC Concert,ENTERTAINMENT_MEDIA,3
Ex-Employee Testifies He Now Doubts R. Kelly Abuse Denials,ENTERTAINMENT_MEDIA,3
'Our Hearts Are Broken': Historic Front Pages Mark The Queen's Death,WORLD_NEWS,3
JoJo Siwa To Receive Prestigious GLSEN Honor For Her LGBTQ Advocacy Work,ENTERTAINMENT_MEDIA,3
UN Chief Asks World For 'Massive' Help In Flood-Hit Pakistan,WORLD_NEWS,4
"Politician's DNA Connected To Las Vegas Journalist’s Murder, Police Say",POLITICS,4
Michelle Obama Celebrated For Wearing Braids To Her White House Portrait Unveiling,ENTERTAINMENT_MEDIA,3
